Typical Measured Spectrum of Semrock FF01-549/15 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
433.6	1.0653e-08
433.8	9.811e-09
434.0	9.0356e-09
434.2	8.3215e-09
434.4	7.6639e-09
434.6	7.0582e-09
434.8	6.5004e-09
435.0	5.9866e-09
435.2	5.5135e-09
435.4	5.0778e-09
435.6	4.6765e-09
435.8	4.3069e-09
436.0	3.9665e-09
436.2	3.653e-09
436.4	3.3643e-09
436.6	3.0985e-09
436.8	2.8536e-09
437.0	2.7328e-09
437.2	2.9616e-09
437.4	3.2097e-09
437.6	3.4785e-09
437.8	3.7699e-09
438.0	4.0856e-09
438.2	4.4278e-09
438.4	4.7986e-09
438.6	5.2005e-09
438.8	5.6361e-09
439.0	6.1082e-09
439.2	6.6197e-09
439.4	7.1742e-09
439.6	7.775e-09
439.8	8.4262e-09
440.0	9.132e-09
440.2	9.8968e-09
440.4	1.0726e-08
440.6	1.1624e-08
440.8	1.2598e-08
441.0	1.3653e-08
441.2	1.4796e-08
441.4	1.6035e-08
441.6	1.7378e-08
441.8	1.8834e-08
442.0	1.9651e-08
442.2	1.8057e-08
442.4	1.6592e-08
442.6	1.5246e-08
442.8	1.4009e-08
443.0	1.2872e-08
443.2	1.1828e-08
443.4	1.0868e-08
443.6	9.9863e-09
443.8	9.1761e-09
444.0	8.4316e-09
444.2	7.7475e-09
444.4	7.1189e-09
444.6	6.5413e-09
444.8	6.0106e-09
445.0	5.5229e-09
445.2	5.0748e-09
445.4	4.6631e-09
445.6	4.2848e-09
445.8	3.9371e-09
446.0	3.6177e-09
446.2	3.3242e-09
446.4	3.0545e-09
446.6	2.8066e-09
446.8	2.5789e-09
447.0	2.4129e-09
447.2	2.4071e-09
447.4	2.4013e-09
447.6	2.3955e-09
447.8	2.3897e-09
448.0	2.384e-09
448.2	2.3782e-09
448.4	2.3725e-09
448.6	2.3667e-09
448.8	2.361e-09
449.0	2.3553e-09
449.2	2.3496e-09
449.4	2.344e-09
449.6	2.3383e-09
449.8	2.3327e-09
450.0	2.327e-09
450.2	2.3214e-09
450.4	2.3158e-09
450.6	2.3102e-09
450.8	2.3047e-09
451.0	2.2991e-09
451.2	2.2936e-09
451.4	2.288e-09
451.6	2.2825e-09
451.8	2.277e-09
452.0	2.3106e-09
452.2	2.4748e-09
452.4	2.6507e-09
